一|ひと-, ひと.つ, イチ|one, one radical (no.1)
式|シキ|style, ceremony, rite
州|す, シュウ|state, province
寺|てら, ジ|Buddhist temple
次|つ.ぐ, つぎ, ジ|next, order, sequence
守|まも.る, まも.り, シュ|guard, protect, defend
糸|いと, シ|thread
在|あ.る, ザイ|exist, outskirts
再|ふたた.び, サイ|again, twice
向|む.く, む.い, コウ|yonder, facing, beyond
交|まじ.わる, まじ.える, コウ|mingle, mixing
血|ち, ケツ|blood
件|くだん, ケン|affair, case, matter
共|とも, とも.に, キョウ|together, both, neither
曲|ま.がる, ま.げる, キョク|bend, music, melody
各|おのおの, カク|each, every, either
印|しるし, -じるし, イン|stamp, seal, mark
因|よ.る, ちな.む, イン|cause, factor
羽|は, わ, ウ|feathers
団|かたまり, まる.い, ダン|group, association
竹|たけ, チク|bamboo
仲|なか, チュウ|go-between, relationship
虫|むし, チュウ|insect, bug, temper
兆|きざ.す, きざ.し, チョウ|portent, 10**12
伝|つた.わる, つた.える, デン|transmit, go along
当|あ.たる, あ.たり, トウ|hit, right, appropriate
成|な.る, な.す, セイ|turn into, become, get
全|まった.く, すべ.て, ゼン|whole, entire, all
争|あらそ.う, いか.でか, ソウ|contend, dispute, argue
任|まか.せる, まか.す, ニン|responsibility, duty
米|こめ, よね, ベイ|rice, USA, metre
両|てる, ふたつ, リョウ|both, old Japanese coin
利|き.く, リ|profit, advantage
余|あま.る, あま.り, ヨ|too much, myself
防|ふせ.ぐ, ボウ|ward off, defend
役|ヤク|duty, war, campaign
返|かえ.す, -かえ.す, ヘン|return, answer, fade
判|わか.る, ハン|judgement, signature
臣|シン|retainer, subject
身|み, シン|somebody, person
折|お.る, おり, セツ|fold, break, fracture
努|つと.める, ド|toil, diligent
投|な.げる, -な.げ, トウ|throw, discard, abandon
対|あいて, こた.える, タイ|vis-a-vis, opposite
束|たば, たば.ねる, ソク|bundle, sheaf, ream
谷|たに, きわ.まる, コク|valley
位|くらい, ぐらい, イ|rank, grade, throne
囲|かこ.む, かこ.う, イ|surround, besiege, store
完|カン|perfect, completion, end
角|かど, つの, カク|angle, corner, square
快|こころよ.い, カイ|cheerful, pleasant
改|あらた.める, あらた.まる, カイ|reformation, change
