一|ひと-, ひと.つ, イチ|one, one radical (no.1)
懲|こ.りる, こ.らす, チョウ|penal, chastise, punish
藤|ふじ, トウ|wisteria
闘|たたか.う, あらそ.う, トウ|fight, war
濫|みだ.りに, みだ.りがましい, ラン|excessive, overflow
離|はな.れる, はな.す, リ|detach, separation
臨|のぞ.む, リン|look to, face, meet
糧|かて, リョウ|provisions, food, bread
翻|ひるがえ.る, ひるがえ.す, ホン|flip, turn over, wave
繭|まゆ, きぬ, ケン|cocoon
癒|い.える, いや.す, ユ|healing, cure
藩|ハン|clan, enclosure
覆|おお.う, くつがえ.す, フク|capsize, cover, shade
癖|くせ, くせ.に, ヘキ|mannerism, habit, vice
簿|ボ|register, record book
譜|フ|musical score, music
覇|はたがしら, ハ|hegemony, supremacy
霧|きり, ム|fog, mist
麗|うるわ.しい, うら.らか, レイ|lovely, beautiful
羅|うすもの, ラ|gauze, thin silk, Rome
蘇|よみがえ.る, ソ|be resuscitated, revived
藻|も, ソウ|seaweed, duckweed
瀬|せ, ライ|rapids, current, torrent
髄|ズイ|marrow, pith
韻|イン|rhyme, elegance, tone
鏡|かがみ, キョウ|mirror, speculum
繰|く.る, ソウ|winding, reel, spin
鶏|にわとり, とり, ケイ|chicken
鯨|くじら, ゲイ|whale
蹴|け.る, シュク|kick
譲|ゆず.る, ジョウ|defer, turnover
醸|かも.す, ジョウ|brew, cause
鐘|かね, ショウ|bell, gong, chimes
懸|か.ける, か.かる, ケン|suspend, hang, 10%
護|まも.る, ゴ|safeguard, protect
響|ひび.く, キョウ|echo, sound, resound
籍|セキ|enroll
騰|あが.る, のぼ.る, トウ|inflation, advancing
欄|てすり, ラン|column, handrail, blank
露|つゆ, ロ|dew, tears, expose
躍|おど.る, ヤク|leap, dance, skip
魔|マ|witch, demon
艦|カン|warship
顧|かえり.みる, コ|look back, review
襲|おそ.う, かさ.ね, シュウ|attack, advance on
驚|おどろ.く, おどろ.かす, キョウ|wonder, be surprised
鑑|かんが.みる, かがみ, カン|specimen
