詮	elucidate	360	RTK
獄	prison	361	RTK
訂	revise	362	RTK
訃	obituary	363	RTK
討	chastise	364	RTK
訓	instruction	365	RTK
詔	imperial edict	366	RTK
詰	packed	367	RTK
話	tale	368	RTK
詠	recitation	369	RTK
詩	poem	370	RTK
語	word	371	RTK
読	read	372	RTK
調	tune	373	RTK
談	discuss	374	RTK
諾	consent	375	RTK
諭	rebuke	376	RTK
式	style	377	RTK
試	test	378	RTK
弐	II (two)	379	RTK
域	range	380	RTK
賊	burglar	381	RTK
栽	plantation	382	RTK
載	load	383	RTK
茂	overgrown	384	RTK
戚	relatives	385	RTK
成	turn into	386	RTK
城	castle	387	RTK
誠	sincerity	388	RTK
威	intimidate	389	RTK
滅	destroy	390	RTK
減	dwindle	391	RTK
蔑	revile	392	RTK
桟	scaffold	393	RTK
銭	coin	394	RTK
浅	shallow	395	RTK
止	stop	396	RTK
歩	walk	397	RTK
渉	ford	398	RTK
頻	repeatedly	399	RTK
肯	agreement	400	RTK
企	undertake	401	RTK
歴	curriculum	402	RTK
武	warrior	403	RTK
賦	levy	404	RTK
正	correct	405	RTK
証	evidence	406	RTK
政	politics	407	RTK
定	determine	408	RTK
錠	lock	409	RTK
走	run	410	RTK
超	transcend	411	RTK
赴	proceed	412	RTK
越	surpass	413	RTK
是	just so	414	RTK
題	topic	415	RTK
堤	dike	416	RTK
建	build	417	RTK
鍵	key	418	RTK
延	prolong	419	RTK
誕	nativity	420	RTK
礎	cornerstone	421	RTK
婿	bridegroom	422	RTK
衣	garment	423	RTK
裁	tailor	424	RTK
装	attire	425	RTK
裏	back	426	RTK
壊	demolition	427	RTK
哀	pathetic	428	RTK
遠	distant	429	RTK
猿	monkey	430	RTK
初	first time	431	RTK
巾	towel	432	RTK
布	linen	433	RTK
帆	sail	434	RTK
幅	hanging scroll	435	RTK
帽	cap	436	RTK
幕	curtain	437	RTK
幌	canopy	438	RTK
錦	brocade	439	RTK
市	market	440	RTK
柿	persimmon	441	RTK
姉	elder sister	442	RTK
肺	lungs	443	RTK
帯	sash	444	RTK
滞	stagnate	445	RTK
刺	thorn	446	RTK
制	system	447	RTK
製	made in...	448	RTK
転	revolve	449	RTK
芸	technique	450	RTK
雨	rain	451	RTK
雲	cloud	452	RTK
曇	cloudy weather	453	RTK
雷	thunder	454	RTK
霜	frost	455	RTK
冬	winter	456	RTK
天	heavens	457	RTK
妖	bewitched	458	RTK
沃	irrigate	459	RTK
橋	bridge	460	RTK
嬌	attractive	461	RTK
立	stand up	462	RTK
泣	cry	463	RTK
章	badge	464	RTK
競	vie	465	RTK
帝	sovereign	466	RTK
諦	renunciation	467	RTK
童	juvenile	468	RTK
瞳	pupil	469	RTK
鐘	bell	470	RTK
商	make a deal	471	RTK
嫡	legitimate wife	472	RTK
適	suitable	473	RTK
滴	drip	474	RTK
敵	enemy	475	RTK
匕	spoon	476	RTK
叱	scold	477	RTK
匂	aroma	478	RTK
頃	about that time	479	RTK
北	north	480	RTK
背	stature	481	RTK
比	compare	482	RTK
昆	descendants	483	RTK
皆	all	484	RTK
楷	block letters	485	RTK
諧	orderliness	486	RTK
混	mix	487	RTK
渇	thirst	488	RTK
謁	audience	489	RTK
褐	brown	490	RTK
喝	hoarse	491	RTK
葛	kudzu	492	RTK
旨	delicious	493	RTK
脂	fat	494	RTK
詣	visit a shrine	495	RTK
壱	I (one)	496	RTK
毎	every	497	RTK
敏	cleverness	498	RTK
梅	plum	499	RTK
海	sea	500	RTK
乞	beg	501	RTK
乾	drought	502	RTK
腹	abdomen	503	RTK
複	duplicate	504	RTK
欠	lack	505	RTK
吹	blow	506	RTK
炊	cook	507	RTK
歌	song	508	RTK
軟	soft	509	RTK
次	next	510	RTK
茨	briar	511	RTK
資	assets	512	RTK
姿	figure	513	RTK
諮	consult with	514	RTK
賠	compensation	515	RTK
培	cultivate	516	RTK
剖	divide	517	RTK
音	sound	518	RTK
暗	darkness	519	RTK
韻	rhyme	520	RTK
識	discriminating	521	RTK
鏡	mirror	522	RTK
境	boundary	523	RTK
亡	deceased	524	RTK
盲	blind	525	RTK
妄	delusion	526	RTK
荒	laid waste	527	RTK
望	ambition	528	RTK
方	direction	529	RTK
妨	disturb	530	RTK
坊	boy	531	RTK
芳	perfumed	532	RTK
肪	obese	533	RTK
訪	call on	534	RTK
放	set free	535	RTK
激	violent	536	RTK
脱	undress	537	RTK
説	explanation	538	RTK
鋭	pointed	539	RTK
曽	formerly	540	RTK
増	increase	541	RTK
贈	presents	542	RTK
東	east	543	RTK
棟	ridgepole	544	RTK
凍	frozen	545	RTK
妊	pregnancy	546	RTK
廷	courts	547	RTK
染	dye	548	RTK
燃	burn	549	RTK
賓	V.I.P.	550	RTK
歳	year-end	551	RTK
県	prefecture	552	RTK
栃	horse chestnut	553	RTK
地	ground	554	RTK
池	pond	555	RTK
虫	insect	556	RTK
蛍	lightning bug	557	RTK
蛇	snake	558	RTK
虹	rainbow	559	RTK
蝶	butterfly	560	RTK
独	single	561	RTK
蚕	silkworm	562	RTK
風	wind	563	RTK
己	self	564	RTK
起	rouse	565	RTK
妃	queen	566	RTK
改	reformation	567	RTK
記	scribe	568	RTK
包	wrap	569	RTK
胞	placenta	570	RTK
砲	cannon	571	RTK
泡	bubble	572	RTK
亀	tortoise	573	RTK
電	electricity	574	RTK
竜	dragon	575	RTK
滝	waterfall	576	RTK
豚	pork	577	RTK
逐	pursue	578	RTK
遂	consummate	579	RTK
家	house	580	RTK
嫁	marry into	581	RTK
豪	overpowering	582	RTK
腸	intestines	583	RTK
場	location	584	RTK
湯	hot water	585	RTK
羊	sheep	586	RTK
美	beauty	587	RTK
洋	ocean	588	RTK
詳	detailed	589	RTK
鮮	fresh	590	RTK
達	accomplished	591	RTK
羨	envious	592	RTK
差	distinction	593	RTK
着	don	594	RTK
唯	solely	595	RTK
